Month of Data Escala de Tempo 1 EA Simp 4,Data Escala de Tempo 1 EA Simp 4,Período Exibido EA Simp 4,Subsistema,val_eaconsimp4
May 2000,5/1/2000,Mês,Sudeste/Centro-Oeste,53.68000031
June 2000,6/1/2000,Mês,Sudeste/Centro-Oeste,47.13999939
July 2000,7/1/2000,Mês,Sudeste/Centro-Oeste,39.91999817
August 2000,8/1/2000,Mês,Sudeste/Centro-Oeste,32.27000046
September 2000,9/1/2000,Mês,Sudeste/Centro-Oeste,30.84000015
October 2000,10/1/2000,Mês,Sudeste/Centro-Oeste,23.04999924
November 2000,11/1/2000,Mês,Sudeste/Centro-Oeste,22.20999908
December 2000,12/1/2000,Mês,Sudeste/Centro-Oeste,28.67000008
January 2001,1/1/2001,Mês,Sudeste/Centro-Oeste,31.55999947
February 2001,2/1/2001,Mês,Sudeste/Centro-Oeste,33.59000015
March 2001,3/1/2001,Mês,Sudeste/Centro-Oeste,34.68000031
April 2001,4/1/2001,Mês,Sudeste/Centro-Oeste,32.29999924
May 2001,5/1/2001,Mês,Sudeste/Centro-Oeste,29.87999916
June 2001,6/1/2001,Mês,Sudeste/Centro-Oeste,28.70999908
July 2001,7/1/2001,Mês,Sudeste/Centro-Oeste,26.85000038
August 2001,8/1/2001,Mês,Sudeste/Centro-Oeste,23.45999908
September 2001,9/1/2001,Mês,Sudeste/Centro-Oeste,20.69000053
October 2001,10/1/2001,Mês,Sudeste/Centro-Oeste,21.12999916
November 2001,11/1/2001,Mês,Sudeste/Centro-Oeste,23.19000053
December 2001,12/1/2001,Mês,Sudeste/Centro-Oeste,32.52999878
January 2002,1/1/2002,Mês,Sudeste/Centro-Oeste,47.06000137
February 2002,2/1/2002,Mês,Sudeste/Centro-Oeste,63.33000183
March 2002,3/1/2002,Mês,Sudeste/Centro-Oeste,70.37000275
April 2002,4/1/2002,Mês,Sudeste/Centro-Oeste,69.23000336
May 2002,5/1/2002,Mês,Sudeste/Centro-Oeste,67.47000122
June 2002,6/1/2002,Mês,Sudeste/Centro-Oeste,64.81999969
July 2002,7/1/2002,Mês,Sudeste/Centro-Oeste,59.59999847
August 2002,8/1/2002,Mês,Sudeste/Centro-Oeste,53.61999893
September 2002,9/1/2002,Mês,Sudeste/Centro-Oeste,49.15000153
October 2002,10/1/2002,Mês,Sudeste/Centro-Oeste,40.95999908
November 2002,11/1/2002,Mês,Sudeste/Centro-Oeste,38.43999863
December 2002,12/1/2002,Mês,Sudeste/Centro-Oeste,41.40999985
January 2003,1/1/2003,Mês,Sudeste/Centro-Oeste,58.79999924
February 2003,2/1/2003,Mês,Sudeste/Centro-Oeste,67.95999908
March 2003,3/1/2003,Mês,Sudeste/Centro-Oeste,74.41000366
April 2003,4/1/2003,Mês,Sudeste/Centro-Oeste,77.62000275
May 2003,5/1/2003,Mês,Sudeste/Centro-Oeste,76.13999939
June 2003,6/1/2003,Mês,Sudeste/Centro-Oeste,72.87999725
July 2003,7/1/2003,Mês,Sudeste/Centro-Oeste,67.31999969
August 2003,8/1/2003,Mês,Sudeste/Centro-Oeste,59.11999893
September 2003,9/1/2003,Mês,Sudeste/Centro-Oeste,50.09999847
October 2003,10/1/2003,Mês,Sudeste/Centro-Oeste,40.77999878
November 2003,11/1/2003,Mês,Sudeste/Centro-Oeste,36
December 2003,12/1/2003,Mês,Sudeste/Centro-Oeste,37.34000015
January 2004,1/1/2004,Mês,Sudeste/Centro-Oeste,47.36000061
