Month of Data Escala de Tempo 1 EA Simp 4,Data Escala de Tempo 1 EA Simp 4,Período Exibido EA Simp 4,Subsistema,val_eaconsimp4
May 2000,01/05/2000,Mês,Sudeste/Centro-Oeste,53.68000031
June 2000,01/06/2000,Mês,Sudeste/Centro-Oeste,47.13999939
July 2000,01/07/2000,Mês,Sudeste/Centro-Oeste,39.91999817
August 2000,01/08/2000,Mês,Sudeste/Centro-Oeste,32.27000046
September 2000,01/09/2000,Mês,Sudeste/Centro-Oeste,30.84000015
October 2000,01/10/2000,Mês,Sudeste/Centro-Oeste,23.04999924
November 2000,01/11/2000,Mês,Sudeste/Centro-Oeste,22.20999908
December 2000,01/12/2000,Mês,Sudeste/Centro-Oeste,28.67000008
January 2001,01/01/2001,Mês,Sudeste/Centro-Oeste,31.55999947
February 2001,01/02/2001,Mês,Sudeste/Centro-Oeste,33.59000015
March 2001,01/03/2001,Mês,Sudeste/Centro-Oeste,34.68000031
April 2001,01/04/2001,Mês,Sudeste/Centro-Oeste,32.29999924
May 2001,01/05/2001,Mês,Sudeste/Centro-Oeste,29.87999916
June 2001,01/06/2001,Mês,Sudeste/Centro-Oeste,28.70999908
July 2001,01/07/2001,Mês,Sudeste/Centro-Oeste,26.85000038
August 2001,01/08/2001,Mês,Sudeste/Centro-Oeste,23.45999908
September 2001,01/09/2001,Mês,Sudeste/Centro-Oeste,20.69000053
October 2001,01/10/2001,Mês,Sudeste/Centro-Oeste,21.12999916
November 2001,01/11/2001,Mês,Sudeste/Centro-Oeste,23.19000053
December 2001,01/12/2001,Mês,Sudeste/Centro-Oeste,32.52999878
January 2002,01/01/2002,Mês,Sudeste/Centro-Oeste,47.06000137
February 2002,01/02/2002,Mês,Sudeste/Centro-Oeste,63.33000183
March 2002,01/03/2002,Mês,Sudeste/Centro-Oeste,70.37000275
April 2002,01/04/2002,Mês,Sudeste/Centro-Oeste,69.23000336
May 2002,01/05/2002,Mês,Sudeste/Centro-Oeste,67.47000122
June 2002,01/06/2002,Mês,Sudeste/Centro-Oeste,64.81999969
July 2002,01/07/2002,Mês,Sudeste/Centro-Oeste,59.59999847
August 2002,01/08/2002,Mês,Sudeste/Centro-Oeste,53.61999893
September 2002,01/09/2002,Mês,Sudeste/Centro-Oeste,49.15000153
October 2002,01/10/2002,Mês,Sudeste/Centro-Oeste,40.95999908
November 2002,01/11/2002,Mês,Sudeste/Centro-Oeste,38.43999863
December 2002,01/12/2002,Mês,Sudeste/Centro-Oeste,41.40999985
January 2003,01/01/2003,Mês,Sudeste/Centro-Oeste,58.79999924
February 2003,01/02/2003,Mês,Sudeste/Centro-Oeste,67.95999908
March 2003,01/03/2003,Mês,Sudeste/Centro-Oeste,74.41000366
April 2003,01/04/2003,Mês,Sudeste/Centro-Oeste,77.62000275
May 2003,01/05/2003,Mês,Sudeste/Centro-Oeste,76.13999939
June 2003,01/06/2003,Mês,Sudeste/Centro-Oeste,72.87999725
July 2003,01/07/2003,Mês,Sudeste/Centro-Oeste,67.31999969
August 2003,01/08/2003,Mês,Sudeste/Centro-Oeste,59.11999893
September 2003,01/09/2003,Mês,Sudeste/Centro-Oeste,50.09999847
October 2003,01/10/2003,Mês,Sudeste/Centro-Oeste,40.77999878
November 2003,01/11/2003,Mês,Sudeste/Centro-Oeste,36
December 2003,01/12/2003,Mês,Sudeste/Centro-Oeste,37.34000015
